Salary,NBA_Country,Age,Tm,MP,PER,TS%,3PAr,FTr,STL%,BLK%,USG%
17884176,USA,27,TOT,951,20.2,0.586,0,0.303,2,1.7,22.4
14112360,Senegal,28,MIN,1281,14.2,0.536,0.147,0.266,1.7,2.5,16.2
29727900,USA,27,BOS,5,7.4,0.5,0.5,0,0,0,17.9
17000450,Slovenia,31,MIA,2324,16.8,0.544,0.281,0.255,1.3,0.4,25.8
1524305,USA,24,IND,241,8.9,0.443,0.322,0.119,2.3,0.4,11.9
22471910,Greece,23,MIL,2698,27.7,0.603,0.099,0.465,1.9,3.3,31.3
50000,Puerto Rico,24,DAL,64,7.4,0.53,0.833,0.111,1.6,0,14.8
947248,USA,32,HOU,825,14,0.558,0.721,0.146,1.4,1.3,21.7
2301360,Greece,20,SAC,118,10.7,0.415,0,0,0.9,4.8,18.6
100000,USA,24,UTA,18,15,0.394,0.375,0.25,5.6,0,27.3
20000000,USA,31,TOT,1783,13.2,0.581,0.399,0.273,1.6,1.3,16.4
50000,USA,25,TOT,149,7.6,0.414,0.319,0.064,1,1.7,15.3
2550055,USA,23,DEN,2265,16.6,0.599,0.436,0.175,2.6,0.6,20.6
8000000,USA,31,SAC,1615,10.2,0.536,0.477,0.164,1.8,1.6,16.4
1465920,Turkey,20,PHI,69,6.5,0.446,0.625,0.167,1.4,1.2,17.2
1312611,USA,23,TOR,1478,16.2,0.562,0.478,0.184,2.2,1,19.1
3501120,France,19,NYK,1566,6.5,0.429,0.313,0.15,1.9,0.9,17
1184385,USA,23,SAC,972,13.1,0.479,0.224,0.301,1.8,1,22.5
2847600,USA,24,CHO,1755,14,0.542,0.38,0.281,1,0.9,20.3
17131148,USA,29,POR,1910,9.9,0.519,0.224,0.195,1,1.1,15.7
17000000,France,25,ORL,1837,15.6,0.577,0.418,0.216,1.3,0.7,23.3
8445024,USA,28,NOP,2468,11.9,0.587,0.364,0.079,1.5,0.4,16.2
6000000,Turkey,30,TOT,1627,14.5,0.555,0.414,0.216,1.7,1.2,18.4
1739333,USA,26,DET,715,13,0.511,0,0.26,1.7,5.7,9.3
12943020,USA,29,HOU,2127,15.3,0.58,0.623,0.251,1,1.1,24.8
14500000,USA,28,TOT,2209,19.3,0.577,0.364,0.318,3.2,1.5,26.3
20566802,Turkey,25,NYK,1830,24,0.63,0.003,0.258,1,1.8,21.8
3381480,Democratic Re...,21,TOT,1237,11.6,0.476,0.281,0.246,1.6,0.8,24.4
239204,USA,35,NOP,341,16.3,0.538,0,0.228,1.1,5.8,14.5
3332340,USA,23,TOT,1808,16.6,0.538,0.138,0.252,2.2,1,21.8
3200000,USA,30,UTA,783,15.3,0.566,0.009,0.487,2.7,7.8,9.2
6352531,USA,28,POR,1439,15.8,0.61,0.003,0.387,1.1,2.9,12.2
15550000,USA,36,TOT,1476,15.5,0.506,0.163,0.281,1.9,2.6,26.1
9003125,Canada,26,DAL,1587,18.7,0.661,0.173,0.43,2,1.7,15.4
23500000,USA,32,CHO,2384,20.5,0.578,0.008,0.642,1,4.5,24.3
748160,USA,28,DET,427,12.8,0.498,0.227,0.207,2.2,0.4,26.4
815615,USA,22,CHO,713,5.8,0.431,0.224,0.13,1.1,0.2,13.7
16400000,USA,27,GSW,2171,16.4,0.555,0.409,0.28,2,3.2,17.1
4468800,Croatia,20,PHO,1957,6.6,0.512,0.666,0.105,0.5,2.1,12.6
3294994,USA,26,TOT,1724,10.5,0.579,0.42,0.164,0.5,0.8,15
1312611,USA,24,DAL,344,6.3,0.468,0.595,0.155,1,1,14
2621280,USA,21,UTA,2512,16.5,0.541,0.407,0.209,2.2,0.9,29
2550000,Lithuania,21,IND,1711,17.3,0.57,0.054,0.346,1,1.5,21.7
5000000,Germany,39,DAL,1900,16.7,0.575,0.445,0.142,1.1,2.1,20.5
11000000,USA,26,MIA,918,10.5,0.487,0.415,0.168,1.3,0.8,25
815615,Canada,22,MEM,2220,9.1,0.526,0.343,0.187,1.5,0.7,17.9
1312611,USA,21,MEM,841,16.7,0.624,0,0.23,0.8,3.9,15.4
6000000,USA,28,ATL,1458,15.7,0.599,0.301,0.166,1.3,2.7,17.1
4402546,USA,34,TOT,1272,12.8,0.561,0.493,0.384,1.8,0.8,20.1
2319360,USA,21,PHO,1865,18.1,0.561,0.364,0.312,1.2,0.6,31.6
104059,USA,26,LAL,9,-3.2,0.25,0.5,0,0,0,18.9
1404600,USA,23,SAS,139,15.9,0.646,0.394,0.606,1.5,1.8,15.4
2116955,USA,29,TOT,366,12.3,0.515,0.164,0.267,0.7,0.9,26.2
1312611,USA,20,TOT,245,10.3,0.488,0.346,0.462,0.8,4.4,12.7
12000000,USA,26,UTA,2044,18.8,0.594,0.084,0.319,1.3,3.2,18.5
2186400,USA,24,CHI,2095,12.1,0.527,0.513,0.071,1.5,0.5,17.5
3218280,USA,20,DAL,1978,12.8,0.475,0.333,0.189,1.7,0.7,29.1
15500000,Germany,24,ATL,2078,17.3,0.515,0.229,0.231,1.7,0.2,30.4
92858,USA,23,PHI,17,24.6,0.82,0.25,0.5,2.8,0,14.8
14800000,USA,31,BRK,2180,14.3,0.55,0.498,0.313,1.3,1,19.8
18063850,USA,27,NOP,1737,22.7,0.583,0.34,0.456,2.2,3.5,31.9
27739975,USA,28,TOR,2616,21.3,0.558,0.202,0.399,1.6,0.6,29.7
1645200,USA,25,TOR,1339,16.8,0.577,0.342,0.261,2.5,2,17.2
1312611,USA,21,SAS,1669,14.9,0.484,0.057,0.228,2.8,1.4,20.7
1577230,USA,29,TOT,711,6.2,0.485,0.52,0.049,2.6,1.7,7.8
22642350,USA,29,LAC,2321,20.2,0.651,0,0.541,0.8,2.5,15.2
1567200,USA,23,ATL,395,6.2,0.467,0.239,0.248,1.9,2.2,18
4609200,USA,20,SAC,1928,11.2,0.477,0.188,0.242,1.8,1,23.2
815615,USA,22,PHO,195,5.2,0.386,0.492,0.169,2.5,0.8,15.3
1312611,Latvia,25,SAS,1067,14.2,0.587,0.691,0.136,1.2,2.2,17.4
2328652,USA,37,GSW,947,21.4,0.609,0.022,0.209,2.3,6,22
148318,USA,26,UTA,6,31.4,0.931,1,2,0,0,35.8
1312611,USA,25,CHI,1529,12.8,0.561,0.121,0.532,1.8,1.7,15
10000000,USA,30,IND,1929,18.9,0.613,0.327,0.235,2.3,0.7,17.4
7464912,USA,29,DEN,141,8.4,0.559,0.489,0.064,2.8,1.8,19.5
2100000,USA,27,NOP,1847,9.4,0.619,0.746,0.131,0.6,0.7,12.8
2422560,Croatia,23,PHI,2229,16.1,0.587,0.447,0.239,1.1,0.7,20.9
4992385,Australia,22,UTA,148,21.9,0.63,0.203,0.356,2,0.6,24.4
2300000,USA,30,TOT,1499,9.7,0.542,0.474,0.149,1.2,1.4,11.5
10000000,USA,30,SAS,1742,11.5,0.51,0.572,0.114,1.7,3.8,16.5
20559599,Italy,29,LAC,671,13.9,0.545,0.434,0.34,0.9,1.2,20.6
815615,Germany,25,BOS,936,16.2,0.616,0.249,0.348,1.6,4.3,15.5
5562360,USA,21,BRK,1124,15.5,0.506,0.398,0.209,1.4,1.1,30.7
1100000,USA,23,NYK,356,8.9,0.489,0.409,0.13,1,0.2,16.5
92160,USA,25,ATL,321,12.9,0.496,0.387,0.21,2.6,0.3,19.2
2116955,USA,38,IND,152,4.9,0.405,0.462,0.103,0.7,0.6,13.4
26153057,USA,27,POR,2558,25.1,0.594,0.444,0.383,1.5,0.9,30.4
1312611,USA,22,GSW,54,10.7,0.765,0,0.4,0,2.9,12
815615,USA,22,OKC,159,16.6,0.575,0,0.513,1.9,4.6,13.7
2135040,USA,21,MIL,69,9.1,0.638,0.357,0.143,1.4,1.2,12.4
7250000,USA,30,ORL,1679,15.4,0.613,0.512,0.359,1.5,0,18.4
7843500,Brazil,25,CHI,856,12.3,0.619,0.005,0.346,0.6,1.1,13.4
11747890,USA,32,NYK,2226,12.9,0.56,0.366,0.171,1.8,0.6,16.9
7630000,Canada,26,IND,2108,11.2,0.505,0.315,0.161,1.8,0.7,14.6
7579366,USA,31,TOT,1121,11.1,0.535,0.331,0.297,3.2,1.1,14.3
7300000,USA,29,MIN,46,5.2,0.34,0,0.4,2.2,1.9,17.9
12584270,USA,25,CHO,627,16,0.602,0.019,0.545,1.1,2.8,15.7
2334520,Switzerland,23,HOU,1955,24.6,0.65,0.002,0.383,1.4,5.8,19.5
24599495,USA,32,HOU,1753,24.3,0.601,0.475,0.288,2.6,0.7,24.3
1471382,USA,22,WAS,90,15.8,0.478,0.19,0.333,0,4.8,24.6
1312611,Mali,21,NOP,538,17.4,0.619,0,0.365,0.9,2.8,17.6
7420912,USA,34,TOT,643,14.2,0.626,0.544,0.078,1.3,1.8,14.9
23112004,USA,29,MEM,691,13.7,0.578,0.517,0.115,1.3,1.5,18.3
2642857,Turkey,22,CLE,584,10.9,0.605,0.442,0.227,1.6,0.4,15
26243760,USA,33,OKC,2413,12.7,0.502,0.404,0.162,0.9,1.8,23.3
1632480,USA,23,BRK,1781,14.2,0.523,0.335,0.258,2,0.9,22.6
2203440,USA,23,CHI,476,14,0.494,0.429,0.079,2.2,1.7,19.3
1465920,USA,20,POR,165,7.1,0.41,0.148,0.241,1.5,1.5,19.6
7936509,USA,30,TOR,1251,13.2,0.55,0.764,0.154,1.4,1.2,22.1
23962573,USA,26,POR,2780,17.4,0.544,0.319,0.168,1.3,1,26.4
3675480,Bahamas,24,SAC,1930,16,0.558,0.442,0.09,2,1,24.3
1312611,USA,24,SAS,1462,9.1,0.523,0.457,0.141,0.9,0.1,16.7
2451225,Brazil,22,TOT,99,8.5,0.398,0.567,0.2,1.5,3.8,16.6
22642350,USA,29,LAL,1657,16.6,0.558,0.408,0.201,0.9,4.7,23.5
1331160,USA,23,TOT,98,18.2,0.486,0.024,0.119,4.5,5.5,22.3
83129,USA,25,TOT,237,10.1,0.527,0.256,0.233,3.8,1.9,11.7
815615,USA,26,SAS,558,7.2,0.493,0.43,0.339,2.3,1,13.4
238020,USA,28,MIL,156,14,0.51,0.52,0.18,1.6,2.2,19.2
5519400,USA,20,LAL,1975,13.9,0.536,0.138,0.371,1.1,1.8,22.2
5179760,USA,30,TOT,381,19,0.596,0,0.324,1.7,6.4,14.7
23775506,USA,24,WAS,2819,18.7,0.566,0.357,0.245,1.7,1.1,27.8
10500000,Croatia,28,IND,2386,13.8,0.603,0.454,0.244,1.1,0.3,18.9
9470614,Serbia,25,SAC,2089,13.8,0.564,0.426,0.161,1.7,0.7,19.6
1516320,USA,22,CHI,1553,20,0.548,0.28,0.199,1.5,1.1,26
1524305,USA,33,HOU,115,5.4,0.425,0.69,0.034,1.7,0,26
7000000,Serbia,29,TOT,286,25.1,0.611,0,0.621,1.5,3.3,28.8
29512900,USA,28,TOT,1970,19.6,0.544,0.323,0.331,1,0.8,28.9
17000000,Democratic Re...,25,ORL,1428,13.9,0.556,0.003,0.455,0.7,5,14.5
6168840,Australia,21,PHI,2614,19.8,0.555,0.012,0.335,2.4,2.1,22.2
5200000,USA,24,MEM,968,9.2,0.517,0.424,0.166,1.9,1.4,19.5
2490360,USA,20,MIA,1324,15.6,0.564,0.021,0.526,1.2,2.6,15.9
8808989,USA,27,TOT,1433,9.7,0.496,0.325,0.131,1.8,0.5,23.5
11825000,USA,25,LAC,1965,12.9,0.531,0.445,0.193,1.8,0.7,20.7
2328652,USA,32,ORL,657,5.5,0.508,0.425,0.17,0.3,1.1,12.4
4328000,Australia,31,BOS,1402,11.7,0.506,0.037,0.187,0.7,2.8,16.4
92160,USA,23,TOT,93,5.4,0.402,0.125,0.375,3.2,4.8,11
3290000,USA,32,DET,1624,13.5,0.652,0.777,0.278,0.9,1.1,14.7
23775506,USA,24,NOP,2582,28.9,0.615,0.113,0.406,2,5.5,29.8
1645200,Croatia,21,CLE,186,23.2,0.737,0,0.351,0.3,6,18.1
7574322,Canada,22,MIN,2832,13.2,0.509,0.26,0.244,1.5,1.5,23.6
1312611,USA,23,MEM,1326,12.7,0.534,0.331,0.371,1.5,1.8,19.7
2328652,Australia,33,LAL,216,10.9,0.696,0,0.08,0.9,4.9,8.8
9259259,USA,26,OKC,1037,10.9,0.543,0.222,0.235,2.2,3.1,8.6
14814815,USA,34,GSW,1601,11.3,0.539,0.36,0.277,1.6,1.9,11.5
23775506,USA,24,DET,2541,23,0.556,0.011,0.453,2.2,4.3,21.2
11000000,USA,30,PHI,1094,14.2,0.563,0.123,0.353,1.9,3.3,12.7
19332500,USA,25,BRK,2085,11.1,0.54,0.634,0.155,1,1.1,18.6
815615,USA,25,TOR,49,9.2,0.663,0.615,0.231,1,1.6,15.5
7319035,USA,27,POR,1950,12.4,0.529,0.586,0.144,1.9,1.5,14.9
778668,USA,24,IND,101,8.5,0.52,0.44,0,1.5,0.9,11.9
4187599,Ukraine,24,PHO,1324,19.4,0.615,0.003,0.638,1,3.7,16.6
5725000,Spain,24,OKC,1095,9.1,0.573,0.755,0.145,1.6,0.7,12.7
10845506,USA,26,UTA,1030,13.1,0.526,0.335,0.31,1.8,0.7,22.4
6000000,USA,25,PHO,70,9.3,0.455,0,0.5,3.4,1.2,17.5
9769821,USA,33,IND,462,19.9,0.557,0.005,0.163,1.7,4.4,22.2
27734405,Dominican Rep...,31,BOS,2219,17.5,0.577,0.301,0.153,0.9,2.9,18.4
1167333,Egypt,24,BOS,463,5.7,0.464,0.477,0.269,1.4,1.6,16.9
83129,USA,23,DAL,164,6.6,0.411,0.644,0.244,2.1,1.1,14.4
5504420,USA,22,ORL,1838,16.6,0.531,0.393,0.263,1.4,1.9,24.5
2116955,USA,33,MIN,188,10.1,0.508,0.449,0.159,1.6,0,19.7
